Fecha entrada,Tipo,Precio entrada,Tamaño,Riesgo (%),Saldo antes (€),Fecha salida,Precio salida,Beneficio (%),Beneficio (€),Saldo después (€),Resumen,Saldo final (simulado)
2019-03-09 12:00:00,BUY,0.04611,13723.975,0.75,6750.0,,,,,,,
,SELL,,,,,2019-04-08 08:00:00,0.08237,78.64,497.63,7246.86,,
2019-11-04 16:00:00,BUY,0.04274,15891.673,0.75,7244.91,,,,,,,
,SELL,,,,,2019-11-08 04:00:00,0.0428,0.14,0.95,7245.18,,
2020-05-28 12:00:00,BUY,0.05874,11562.343,0.75,7244.5,,,,,,,
,SELL,,,,,2020-06-10 00:00:00,0.08108,38.03,258.3,7502.01,,
2020-06-22 16:00:00,BUY,0.08189,8587.573,0.75,7501.19,,,,,,,
,SELL,,,,,2020-06-24 12:00:00,0.08077,-1.37,-9.62,7490.69,,
2020-10-19 12:00:00,BUY,0.10895,6445.192,0.75,7490.17,,,,,,,
,SELL,,,,,2020-10-20 04:00:00,0.1055,-3.17,-22.24,7467.43,,
2021-06-03 12:00:00,BUY,1.82,512.826,1.0,7466.75,,,,,,,
,SELL,,,,,2021-06-04 04:00:00,1.6595,-8.82,-82.31,7383.51,,
2022-08-08 00:00:00,BUY,0.5328,1731.981,1.0,7382.4,,,,,,,
,SELL,,,,,2022-08-09 08:00:00,0.5174,-2.89,-26.67,7354.8,,
2023-04-11 00:00:00,BUY,0.4003,2296.373,1.0,7353.91,,,,,,,
,SELL,,,,,2023-04-19 08:00:00,0.4196,4.82,44.32,7397.08,,
2023-07-30 08:00:00,BUY,0.3145,2939.541,1.0,7395.89,,,,,,,
,SELL,,,,,2023-07-30 16:00:00,0.3092,-1.69,-15.58,7379.68,,
2024-09-23 20:00:00,BUY,0.3637,2535.906,1.0,7378.47,,,,,,,
,SELL,,,,,2024-09-30 08:00:00,0.3853,5.94,54.78,7432.58,,
2025-09-12 04:00:00,BUY,0.8996,1032.626,1.0,7431.6,,,,,,,
,SELL,,,,,2025-09-15 04:00:00,0.8779,-2.41,-22.41,7408.37,,
,,0.0402,,,,,0.5766,1334.33,,,Buy & Hold,96817.16
