Fecha entrada,Tipo,Precio entrada,Tamaño,Riesgo (%),Saldo antes (€),Notional entrada (€),Fecha salida,Precio salida,Beneficio (%),PnL bruto (€),Saldo después (€)
2019-03-09 12:00:00,BUY,0.04611,13723.975,0.75,6750.0,632.81,,,,,
,SELL,,,,,,2019-04-08 08:00:00,0.08237,78.64,497.63,7247.49
2019-11-04 16:00:00,BUY,0.04274,15895.539,0.75,7246.67,679.38,,,,,
,SELL,,,,,,2019-11-08 04:00:00,0.0428,0.14,0.95,7247.62
2020-05-28 12:00:00,BUY,0.05874,11567.326,0.75,7247.62,679.46,,,,,
,SELL,,,,,,2020-06-10 00:00:00,0.08108,38.03,258.41,7505.92
2020-06-22 16:00:00,BUY,0.08189,8593.126,0.75,7506.04,703.69,,,,,
,SELL,,,,,,2020-06-24 12:00:00,0.08077,-1.37,-9.62,7496.24
2020-10-19 12:00:00,BUY,0.10895,6450.562,0.75,7496.41,702.79,,,,,
,SELL,,,,,,2020-10-20 04:00:00,0.1055,-3.17,-22.25,7474.35
2021-06-03 12:00:00,BUY,1.82,513.348,1.0,7474.35,934.29,,,,,
,SELL,,,,,,2021-06-04 04:00:00,1.6595,-8.82,-82.39,7391.96
2022-08-08 00:00:00,BUY,0.5328,1734.164,1.0,7391.7,923.96,,,,,
,SELL,,,,,,2022-08-09 08:00:00,0.5174,-2.89,-26.71,7365.0
2023-04-11 00:00:00,BUY,0.4003,2299.837,1.0,7365.0,920.62,,,,,
,SELL,,,,,,2023-04-19 08:00:00,0.4196,4.82,44.39,7409.15
2023-07-30 08:00:00,BUY,0.3145,2944.723,1.0,7408.92,926.12,,,,,
,SELL,,,,,,2023-07-30 16:00:00,0.3092,-1.69,-15.61,7393.61
2024-09-23 20:00:00,BUY,0.3637,2541.008,1.0,7393.32,924.16,,,,,
,SELL,,,,,,2024-09-30 08:00:00,0.3853,5.94,54.89,7448.46
2025-09-12 04:00:00,BUY,0.8996,1034.968,1.0,7448.46,931.06,,,,,
,SELL,,,,,,2025-09-15 04:00:00,0.8779,-2.41,-22.46,7426.1
