Fecha entrada,Tipo,Precio entrada,Tamaño,Riesgo (%),Saldo antes (€),Fecha salida,Precio salida,Beneficio (%),Beneficio (€),Saldo después (€),Resumen,Saldo final (simulado)
2019-06-16 08:00:00,BUY,0.41545,1523.197,0.75,6750.0,,,,,,,
,SELL,,,,,2019-06-27 04:00:00,0.43651,5.07,32.08,6781.43,,
2019-11-05 00:00:00,BUY,0.3011,2111.285,0.75,6780.89,,,,,,,
,SELL,,,,,2019-11-07 08:00:00,0.2879,-4.38,-27.87,6752.38,,
2021-10-09 12:00:00,BUY,1.1533,548.841,0.75,6751.77,,,,,,,
,SELL,,,,,2021-10-12 00:00:00,1.0939,-5.15,-32.6,6718.54,,
2023-04-11 08:00:00,BUY,0.5201,1210.944,0.75,6718.0,,,,,,,
,SELL,,,,,2023-04-12 00:00:00,0.5079,-2.35,-14.77,6702.71,,
2024-03-25 16:00:00,BUY,0.6554,958.701,0.75,6702.22,,,,,,,
,SELL,,,,,2024-03-27 04:00:00,0.6203,-5.36,-33.65,6668.04,,
2024-09-28 08:00:00,BUY,0.6169,1350.997,1.0,6667.44,,,,,,,
,SELL,,,,,2024-10-01 20:00:00,0.5967,-3.27,-27.29,6639.18,,
2025-09-18 00:00:00,BUY,3.1051,267.242,1.0,6638.51,,,,,,,
,SELL,,,,,2025-09-19 08:00:00,3.0304,-2.41,-19.96,6617.75,,
,,0.34874,,,,,2.455,603.96,,,Buy & Hold,47517.49
