Fecha entrada,Tipo,Precio entrada,Tamaño,Riesgo (%),Saldo antes (€),Notional entrada (€),Fecha salida,Precio salida,Beneficio (%),PnL bruto (€),Saldo después (€)
2019-06-16 08:00:00,BUY,0.41545,1523.197,0.75,6750.0,632.81,,,,,
,SELL,,,,,,2019-06-27 04:00:00,0.43651,5.07,32.08,6782.06
2019-11-05 00:00:00,BUY,0.3011,2111.689,0.75,6782.19,635.83,,,,,
,SELL,,,,,,2019-11-07 08:00:00,0.2879,-4.38,-27.87,6754.31
2021-10-09 12:00:00,BUY,1.1533,549.047,0.75,6754.31,633.22,,,,,
,SELL,,,,,,2021-10-12 00:00:00,1.0939,-5.15,-32.61,6721.7
2023-04-11 08:00:00,BUY,0.5201,1211.621,0.75,6721.75,630.16,,,,,
,SELL,,,,,,2023-04-12 00:00:00,0.5079,-2.35,-14.78,6707.09
2024-03-25 16:00:00,BUY,0.6554,959.415,0.75,6707.21,628.8,,,,,
,SELL,,,,,,2024-03-27 04:00:00,0.6203,-5.36,-33.68,6673.63
2024-09-28 08:00:00,BUY,0.6169,1352.251,1.0,6673.63,834.2,,,,,
,SELL,,,,,,2024-10-01 20:00:00,0.5967,-3.27,-27.32,6646.18
2025-09-18 00:00:00,BUY,3.1051,267.556,1.0,6646.32,830.79,,,,,
,SELL,,,,,,2025-09-19 08:00:00,3.0304,-2.41,-19.99,6626.36
